"org.sonatype.spice.inject:guice-plexus-metadata",2,"org.sonatype.spice.inject:guice-nexus-scanners"|"org.sonatype.spice.inject:guice-plexus-shim"|
"commons-codec:commons-codec",112,"org.openengsb.infrastructure:openengsb-infrastructure-jms"|"org.ow2.util:util-geolocation-client"|"org.kuali.student.common:ks-common-ui"|"org.mortbay.jetty:jetty-wadi-session-manager"|"commons-httpclient:commons-httpclient"|"org.openengsb.connector:openengsb-connector-git"|"org.openengsb.branding:openengsb-branding-shell"|"org.openengsb.ports:org.openengsb.ports.jms"|"htmlunit:htmlunit"|"org.openengsb.domain:openengsb-domain-parent"|"org.openengsb.core:openengsb-core-api"|"org.wamblee:wamblee-security-impl"|"org.ow2.orchestra.eclipse.birt:org.ow2.orchestra.eclipse.birt.chart.device.svg"|"org.opencredo.cloud.storage:cloud-storage-azure"|"org.apache.shindig:shindig-common"|"org.openengsb.ports:openengsb-ports-ws"|"org.openengsb.connector:openengsb-connector-example"|"org.openengsb.infrastructure:org.openengsb.infrastructure.jms"|"org.openengsb.ui:org.openengsb.ui.api"|"org.openengsb.branding:openengsb-branding-parent"|"org.nuiton.jredmine:jredmine-client"|"org.openrdf:elmo"|"org.openengsb.connector:openengsb-connector-parent"|"org.swinglabs:swingx-ws"|"org.openengsb.framework:org.openengsb.framework.ekb"|"org.openengsb.framework:org.openengsb.framework.itests"|"myfaces:myfaces-api"|"org.mule.transports:mule-transport-http"|"org.ow2.orchestra.installer.izpack:izpack-geolocation-notifier"|"org.littleshoot:littleproxy"|"org.sonatype.nexus:nexus-webapp-compile"|"org.apache.tapestry:tapestry-core"|"axion:axion"|"org.openengsb.framework:org.openengsb.framework.workflow"|"org.springmodules:spring-modules-tapestry"|"org.openengsb.core:openengsb-core-workflow"|"org.openengsb.domain:org.openengsb.domain.example"|"org.sonatype.jsecurity:method-realm"|"org.sonatype.jsecurity:security-xml-realm"|"org.openengsb:openengsb-bundle-settings"|"org.kuali.maven.wagons:maven-s3-wagon"|"org.openengsb.framework:openengsb-framework-parent"|"org.openengsb.ports:openengsb-ports-jms"|"org.apache.abdera:abdera-core"|"org.openqa.selenium.server:selenium-server-coreless"|"net.sourceforge.htmlunit:htmlunit"|"org.openengsb.ui:org.openengsb.ui.admin"|"org.wamblee:wamblee-security-usermgt"|"org.openengsb.framework:org.openengsb.framework.console"|"org.sonatype.sisu:sisu-encryptor"|"org.openid4java:openid4java-infocard"|"org.openengsb.framework:org.openengsb.framework.services"|"org.sonatype.maven.shell:mvnsh-nexus"|"sk.openhouse:openhouse-web"|"org.mnode.ical4j:ical4j"|"org.openengsb.ports:org.openengsb.ports.ws"|"org.openengsb.core:openengsb-core-console"|"org.sonatype.security:security-system"|"org.openengsb.core:openengsb-core-services"|"org.openengsb.ui:openengsb-ui-admin"|"org.jvnet.hudson:typica"|"org.apache.httpcomponents:httpclient-osgi"|"org.simplericity:serberuhs"|"org.openengsb.domain:org.openengsb.domain.auditing"|"org.acegisecurity:acegi-security"|"org.openengsb.ui:openengsb-ui-common"|"org.apache.solr:solr-core"|"org.openengsb.framework:openengsb-framework"|"org.openengsb.infrastructure:org.openengsb.infrastructure.jpa"|"org.apache.solr:solr-solrj"|"se.vgregion.tyck-till:tyck-till-core-bc-composite-svc"|"org.seleniumhq.webdriver:webdriver-remote-common"|"org.seleniumhq.selenium.server:selenium-server-coreless"|"org.jvnet.hudson.plugins:perforce"|"org.openengsb.framework:org.openengsb.framework.test"|"commons-configuration:commons-configuration"|"org.openengsb.connector:openengsb-connector-memoryauditing"|"org.nakedobjects.core:metamodel"|"org.openengsb.connector:org.openengsb.connector.memoryauditing"|"org.openengsb.infrastructure:openengsb-infrastructure-parent"|"org.jvnet.hudson:htmlunit"|"org.openengsb.core:openengsb-core-parent"|"org.scribe:scribe"|"securityfilter:securityfilter"|"org.nhind:gateway"|"se.vgregion.cs-iframe:cs-iframe-core-module-portlet"|"org.openengsb.infrastructure:openengsb-infrastructure-jpa"|"org.ow2.jasmine:jadort-ejb"|"org.ow2.jasmine.monitoring:jasmine-monitoring-installer-geoclient"|"org.kantega.jexmec:jexmec-api-test-plugin"|"org.sonatype.spice:plexus-encryptor"|"org.openengsb.ui:org.openengsb.ui.common"|"org.openengsb.framework:org.openengsb.framework.edb"|"org.openengsb.build:openengsb-bundle-settings"|"ru.frostman.web:webjavin-parent"|"com.google.code.typica:typica"|"org.openengsb.domain:openengsb-domain-example"|"org.openengsb.domain:openengsb-domain-auditing"|"org.yestech:yesepisodic"|"org.openengsb.connector:org.openengsb.connector.example"|"org.xins:xins-common"|"org.openengsb.ports:openengsb-ports-parent"|"org.openengsb.core:openengsb-core-edb"|"org.openengsb.ui:openengsb-ui-parent"|"org.apache.myfaces.core:myfaces-impl"|"org.seleniumhq.selenium:selenium-remote-common"|"org.opensaml:openws"|"org.ztemplates:ztemplates"|"reportrunner:reportrunner"|"org.kuali.maven:kuali-wagon-s3"|"org.xwiki.commons:xwiki-commons-velocity"|"ru.frostman.web:webjavin-test"|
"com.adobe.flex.framework:sparkskins",1,"com.adobe.flex.framework:common-framework"|
"org.apache.tapestry:tapestry-hibernate",1,"org.tynamo:tapestry-model-hibernate"|
"org.ow2.petals:petals-ws-star",1,"org.ow2.petals:petals-bc-soap"|
"org.apache.maven.plugins:maven-jar-plugin",1,"org.nuiton.thirdparty:webstart-maven-plugin"|
"javax.script:script-js",4,"org.scala-tools.testing:specs"|"org.scala-tools.testing:specs_2.8.0.Beta1"|"org.scala-tools.testing:specs_2.7.7"|"org.scala-tools.testing:specs_2.7.5"|
"org.ow2.easybeans:easybeans-management",3,"org.ow2.easybeans.osgi:easybeans-core-for-jonas"|"org.ow2.easybeans.osgi:easybeans-core-for-jonas-hibernate"|"org.ow2.easybeans:easybeans-all"|
"net.sf.xslthl:xslthl",1,"com.agilejava.docbkx:docbkx-maven-plugin"|
"com.sun.istack:istack-commons-runtime",1,"com.sun.xml.ws:policy"|
"com.gemstone.gemfire:gemfire",1,"org.springframework.data.gemfire:spring-gemfire"|
